date,xrf,sample,ni,fe,alu,mag,chrom,man
5/22/22,3,S1,0.629,48.397,10.642,0.778,5.059,0.803
5/22/22,3,S2,0.642,51.228,6.933,0.65,4.738,0.953
5/22/22,2,S2,0.655,51.228,6.512,0.882,3.835,0.939
5/22/22,2,S1,0.637,48.286,9.85,0.947,3.826,0.79
5/23/22,2,S1,0.637,48.116,9.842,1.007,3.846,0.794
5/23/22,3,S12,1.396,14.012,1.404,29.038,1.162,0.322
5/23/22,3,S1,0.626,48.25,10.491,0.82,5.012,0.802
5/23/22,3,S2,0.641,51.092,6.829,0.668,4.641,0.949
5/23/22,2,S2,0.655,51.008,6.444,0.895,3.821,0.937
5/24/22,2,S12,1.377,13.777,1.138,25.32,1.176,0.327
5/24/22,2,S2,0.659,51.013,6.482,0.893,3.845,0.941
5/24/22,2,S1,0.638,48.248,9.845,0.995,3.839,0.788
5/24/22,3,S2,0.64,51.051,7.049,0.674,4.698,0.95
5/24/22,3,S1,0.629,48.244,10.717,0.767,5.032,0.799
5/25/22,2,S11,1.005,8.298,1.15,25.692,0.74,0.172
5/25/22,2,S2,0.655,51.296,6.486,0.884,3.826,0.937
5/25/22,3,S11,0.998,8.306,1.553,25.41,0.692,0.166
5/25/22,2,S12,1.368,13.638,1.138,25.89,1.203,0.328
5/25/22,2,S1,0.638,48.344,9.688,0.967,3.834,0.799
5/25/22,3,S2,0.641,51.164,6.911,0.66,4.731,0.958
5/25/22,3,S1,0.627,48.276,10.486,0.889,5.049,0.802
5/25/22,3,S12,1.386,13.95,1.35,28.856,1.149,0.319
5/26/22,3,S2,0.639,51.02,6.914,0.668,4.685,0.953
5/26/22,2,S12,1.367,13.545,1.142,25.58,1.206,0.328
5/26/22,2,S11,1.004,8.188,1.144,25.25,0.74,0.169
5/26/22,3,S1,0.622,48.127,10.427,0.857,5.018,0.798
5/26/22,2,S2,0.656,51.396,6.507,0.921,3.826,0.938
5/26/22,2,S1,0.634,48.422,9.904,0.974,3.8,0.783
5/26/22,3,S12,1.392,13.973,1.367,28.503,1.134,0.321
5/27/22,2,S12,1.395,13.74,1.197,25.67,1.185,0.331
5/27/22,4,S1,0.632,48.515,8.883,1.594,3.694,0.96
5/27/22,3,S1,0.623,48.065,10.492,0.791,5.01,0.795
5/27/22,2,S2,0.657,51.473,6.555,0.899,3.827,0.946
5/27/22,3,S12,1.387,13.992,1.412,28.868,1.163,0.32
5/27/22,2,S11,1.011,8.447,1.274,25.463,0.738,0.167
5/27/22,2,S1,0.636,48.536,9.861,0.974,3.804,0.782
5/27/22,4,S12,1.398,13.85,1.149,28.11,1.204,0.321
5/27/22,3,S11,1.003,8.344,1.627,25.4,0.674,0.168
5/27/22,4,S2,0.653,51.96,6.815,1.082,3.712,1.082
5/27/22,4,S11,1.016,8.848,1.074,26.95,0.666,0.186
5/27/22,3,S2,0.639,51.031,6.899,0.691,4.618,0.958
5/28/22,2,S2,0.657,51.366,6.619,0.932,3.881,0.955
5/28/22,3,S2,0.64,50.977,6.865,0.714,4.577,0.954
5/28/22,4,S2,0.651,51.885,6.8,1.15,3.677,1.074
5/28/22,3,S1,0.624,47.956,10.663,0.825,5.011,0.792
5/28/22,2,S12,1.388,13.477,1.194,26.173,1.211,0.323
5/28/22,2,S11,1.011,8.254,1.219,25.387,0.746,0.168
5/28/22,4,S1,0.631,48.485,8.796,1.682,3.793,0.823
5/28/22,3,S12,1.386,13.882,1.484,28.532,1.153,0.319
5/28/22,2,S1,0.638,48.356,10.026,1.045,3.843,0.785
5/29/22,3,S1,0.627,48.288,10.66,0.783,5.061,0.805
5/29/22,2,S2,0.659,51.565,6.619,0.887,3.91,0.946
5/29/22,4,S1,0.634,48.565,8.842,1.594,3.807,0.792
5/29/22,3,S2,0.645,51.234,7.01,0.656,4.714,0.962
5/29/22,3,S11,0.989,8.271,1.645,25.44,0.711,0.165
5/29/22,2,S12,1.392,13.83,1.214,26.64,1.187,0.325
5/29/22,4,S2,0.653,51.702,6.774,1.137,3.664,1.07
5/29/22,3,S12,1.398,13.89,1.292,29.03,1.155,0.318
5/29/22,2,S11,1.003,8.413,1.237,25.47,0.739,0.167
5/29/22,2,S1,0.64,48.3,10.156,1.013,3.887,0.8
5/30/22,2,S1,0.638,48.341,10.078,1.023,3.867,0.794
5/30/22,3,S1,0.621,48.004,10.76,0.75,4.998,0.792
5/30/22,4,S1,0.625,48.597,8.752,1.765,3.849,0.825
5/30/22,4,S2,0.649,51.805,6.796,1.092,3.694,1.088
5/30/22,3,S2,0.64,51.067,6.991,0.668,4.574,0.955
5/30/22,2,S12,1.4,13.613,1.202,26.123,1.188,0.33
5/30/22,2,S2,0.651,51.304,6.579,0.923,3.852,0.946
5/30/22,2,S11,1.015,8.294,1.223,25.818,0.742,0.168
5/31/22,4,S1,0.631,48.427,8.784,1.524,3.746,0.85
5/31/22,3,S2,0.641,51.205,6.892,0.705,4.701,0.95
5/31/22,2,S2,0.653,51.26,6.532,0.934,3.858,0.943
5/31/22,3,S1,0.628,48.26,10.59,0.785,5.008,0.803
5/31/22,4,S2,0.648,51.96,6.756,1.092,3.67,1.084
5/31/22,2,S1,0.636,48.276,10.002,1.044,3.883,0.801
5/31/22,3,S11,1.004,8.282,1.734,26.067,0.7,0.168
5/31/22,2,S11,1.018,8.324,1.251,26.041,0.745,0.169
5/31/22,2,S12,1.402,13.64,1.205,26.069,1.191,0.331
6/1/22,4,S2,0.649,51.736,6.799,1.16,3.656,1.077
6/1/22,2,S1,0.64,48.531,10.105,1.081,3.864,0.795
6/1/22,3,S11,0.999,8.281,1.663,25.852,0.711,0.165
6/1/22,2,S2,0.659,51.384,6.645,0.947,3.814,0.945
6/1/22,3,S2,0.647,51.268,6.889,0.746,4.696,0.951
6/1/22,4,S11,1.001,8.794,1.136,27.314,0.684,0.184
6/1/22,3,S1,0.625,48.304,10.565,0.8,5.029,0.803
6/1/22,2,S12,1.355,13.862,1.152,26.2,1.197,0.333
6/1/22,2,S11,1.011,8.22,1.199,25.965,0.747,0.166
6/1/22,4,S12,1.399,13.987,1.148,27.747,1.164,0.329
6/1/22,4,S1,0.631,48.468,8.849,1.548,3.751,0.86
6/1/22,3,S12,1.391,14.069,1.329,28.646,1.155,0.324
6/2/22,2,S2,0.636,51.9,6.695,0.948,3.814,0.963
6/2/22,3,S1,0.635,48.316,10.587,0.864,5.037,0.803
6/2/22,4,S11,1.009,8.773,1.138,27.647,0.671,0.185
6/2/22,3,S11,0.997,8.304,1.598,25.784,0.711,0.165
6/2/22,4,S1,0.635,48.788,8.854,1.578,3.741,0.934
6/2/22,3,S12,1.394,14.101,1.346,28.515,1.135,0.324
6/2/22,4,S12,1.404,13.981,1.138,27.803,1.161,0.328
6/2/22,4,S2,0.651,51.905,6.87,1.108,3.678,1.09
6/2/22,2,S1,0.653,48.75,10.11,1.059,3.953,0.806
6/2/22,3,S2,0.636,51.047,6.938,0.76,4.606,0.947
6/3/22,2,S12,1.381,13.915,1.191,26.478,1.204,0.335
6/3/22,4,S11,1.002,8.807,1.129,27.353,0.678,0.185
6/3/22,3,S2,0.64,51.247,6.913,0.689,4.634,0.954
6/3/22,3,S1,0.633,48.387,10.559,0.909,5.065,0.81
6/3/22,2,S2,0.657,52.412,6.785,0.926,3.885,0.94
6/3/22,4,S2,0.651,51.79,6.684,1.26,3.63,1.069
6/3/22,3,S12,1.394,14.072,1.334,28.726,1.153,0.323
6/3/22,4,S12,1.403,13.935,1.138,27.901,1.175,0.324
6/3/22,4,S1,0.629,48.285,8.799,1.528,3.744,0.857
6/3/22,2,S11,1.009,8.436,1.231,25.912,0.74,0.171
6/3/22,2,S1,0.634,49.313,10.454,0.996,3.895,0.808
6/3/22,3,S11,0.998,8.317,1.578,25.564,0.71,0.166
6/4/22,4,S12,1.408,13.952,1.12,28.082,1.182,0.328
6/4/22,3,S1,0.626,48.381,10.632,0.863,5.045,0.803
6/4/22,4,S1,0.63,48.767,8.807,1.684,3.812,0.867
6/4/22,2,S11,1.001,8.492,1.218,26.069,0.75,0.173
6/4/22,4,S2,0.653,51.794,6.681,1.135,3.635,1.072
6/4/22,4,S11,1.005,8.832,1.115,27.808,0.686,0.184
