dt,xrf,sample,ni,fe,alu
2022-07-04,2,S3,0.98,52.23,3.05
2022-07-04,4,S3,0.99,52.84,3.98
2022-07-04,3,S2,0.64,51.03,6.82
2022-07-04,3,S3,0.98,53.08,3.18
2022-07-04,2,S2,0.66,51.4,6.54
2022-07-05,3,S3,0.97,53.06,3.27
2022-07-05,2,S1,0.64,48.37,8.52
2022-07-05,2,S2,0.66,51.42,6.24
2022-07-05,4,S1,0.63,48.98,8.43
2022-07-05,3,S1,0.62,48.25,10.02
2022-07-05,4,S2,0.64,52.35,6.74
2022-07-05,3,S2,0.64,51.26,6.82
2022-07-05,4,S3,0.99,53.96,3.91
2022-07-06,2,S3,0.98,52.14,3.04
2022-07-06,3,S3,0.98,53.06,3.2
2022-07-06,4,S3,0.99,54.45,3.92
2022-07-06,3,S2,0.64,51.15,6.79
2022-07-06,4,S1,0.63,49.35,8.58
2022-07-06,2,S1,0.64,48.58,9.41
2022-07-06,2,S2,0.66,51.32,6.52
2022-07-06,3,S1,0.63,48.4,9.9
2022-07-06,4,S12,1.4,14.02,1.15
2022-07-07,4,S3,0.98,54.46,3.92
2022-07-07,3,S1,0.62,48.07,10.17
2022-07-07,2,S1,0.64,48.46,9.56
2022-07-07,2,S2,0.66,51.6,6.55
2022-07-07,4,S2,0.66,52.52,6.82
2022-07-07,4,S1,0.63,49.21,8.51
2022-07-07,4,S11,1.01,8.87,1.1
2022-07-07,3,S2,0.65,51.31,6.92
2022-07-07,2,S3,0.98,52.52,3.06
2022-07-07,4,S12,1.41,14.01,1.13
2022-07-08,3,S2,0.64,51.29,6.79
2022-07-08,3,S1,0.62,48.4,10.01
2022-07-08,2,S2,0.65,51.44,6.56
2022-07-08,2,S1,0.63,48.54,9.48
2022-07-09,4,S3,0.99,53.44,4.03
2022-07-09,3,S3,0.98,52.95,3.25
2022-07-09,2,S3,0.98,52.38,3.11
2022-07-09,2,S12,1.37,13.62,1.2
2022-07-09,2,S1,0.64,48.58,9.39
2022-07-09,4,S1,0.63,49.22,8.57
2022-07-09,4,S2,0.65,52.51,6.69
2022-07-09,2,S11,1,8.36,1.21
2022-07-09,3,S2,0.64,51.19,6.69
2022-07-09,2,S2,0.65,51.62,6.54
2022-07-09,3,S1,0.62,48.39,9.95
2022-07-10,3,S2,0.64,51.08,6.79
2022-07-10,2,S1,0.64,48.6,9.34
2022-07-10,4,S11,1,8.9,1.18
2022-07-10,4,S2,0.65,52.7,6.74
2022-07-10,2,S2,0.65,51.44,6.54
2022-07-10,3,S1,0.62,48.29,9.81
2022-07-11,3,S1,0.63,48.43,9.9
2022-07-11,2,S2,0.66,51.28,6.48
2022-07-11,4,S12,1.4,14.12,1.15
2022-07-11,4,S1,0.63,49.01,8.47
2022-07-11,3,S2,0.64,51.12,6.83
2022-07-11,2,S3,0.96,52.52,3.12
2022-07-11,3,S3,0.98,53.07,3.35
2022-07-11,4,S2,0.65,52.5,6.77
2022-07-11,4,S3,0.99,54.61,3.97
2022-07-11,4,S11,1,8.9,1.08
2022-07-11,2,S1,0.64,48.59,9.43
2022-07-12,4,S3,0.99,54.84,3.97
2022-07-12,4,S1,0.63,49.22,8.43
2022-07-12,4,S2,0.65,52.64,6.7
2022-07-12,3,S2,0.65,51.15,6.76
2022-07-12,3,S3,0.98,53.02,3.36
2022-07-12,2,S3,0.99,52.32,3.07
2022-07-12,2,S1,0.64,48.53,9.31
2022-07-12,3,S1,0.63,48.41,9.87
2022-07-12,2,S2,0.66,51.4,6.5
2022-07-13,4,S1,0.63,49.11,8.4
2022-07-13,3,S3,0.97,53.05,3.31
2022-07-13,3,S2,0.64,51.15,6.74
2022-07-13,2,S1,0.64,48.7,9.35
2022-07-13,2,S11,1,8.36,1.25
2022-07-13,4,S3,0.99,54.89,3.94
2022-07-13,2,S2,0.66,51.45,6.53
2022-07-13,4,S2,0.65,52.42,6.69
2022-07-13,2,S3,0.98,52.78,3.14
2022-07-13,3,S1,0.63,48.44,9.89
2022-07-14,3,S2,0.64,51.37,6.7
2022-07-14,3,S1,0.63,48.49,9.78
2022-07-14,4,S3,0.98,54.17,3.96
2022-07-14,2,S1,0.64,48.73,9.32
2022-07-14,3,S3,0.97,53.17,3.31
2022-07-14,2,S2,0.66,51.75,6.53
2022-07-14,2,S3,0.98,52.64,3.11
2022-07-14,4,S1,0.63,49.26,8.41
